Unnamed: 0	Gold	Predicted
352	E1 precedes E2	E1 precedes E2
353	None	None
354	E1 precedes E2	E1 precedes E2
355	None	None
356	None	None
357	None	None
358	E1 precedes E2	E1 precedes E2
359	None	None
360	None	None
361	E2 precedes E1	None
362	None	None
363	E1 precedes E2	None
364	E1 precedes E2	None
365	None	None
366	None	E1 precedes E2
367	None	None
368	None	None
369	None	None
370	None	None
371	E1 precedes E2	None
372	E1 precedes E2	None
373	None	None
374	E1 precedes E2	None
375	None	None
377	E1 precedes E2	None
378	None	None
379	None	None
380	E1 precedes E2	None
381	E2 precedes E1	E1 precedes E2
382	None	None
383	E1 precedes E2	None
384	None	None
385	None	None
386	None	None
387	E1 precedes E2	None
388	None	None
389	None	None
390	None	None
391	None	None
392	None	E1 precedes E2
393	None	None
394	None	E1 precedes E2
395	None	None
396	None	None
397	None	None
398	None	None
399	None	None
400	None	E1 precedes E2
401	E1 precedes E2	None
402	None	None
403	None	None
405	None	None
406	None	None
407	None	None
408	None	None
409	None	E1 precedes E2
410	None	None
411	None	None
412	None	None
413	E1 precedes E2	None
414	None	None
415	None	None
416	None	None
417	None	None
418	E1 precedes E2	E1 precedes E2
419	None	None
420	None	None
421	E1 precedes E2	None
422	None	None
423	None	None
424	None	None
425	None	None
426	E1 precedes E2	E1 precedes E2
427	None	None
428	None	None
429	None	None
430	None	None
431	None	None
432	None	None
433	None	None
434	None	None
435	E1 precedes E2	None
436	E1 precedes E2	None
437	None	None
438	None	None
439	None	None
440	None	None
441	None	None
442	E1 precedes E2	None
443	None	None
444	None	None
445	None	None
446	None	None
447	None	None
448	None	E1 precedes E2
449	None	None
450	None	None
451	None	E1 precedes E2
452	None	None
453	None	None
454	None	None
455	None	E1 precedes E2
457	None	None
458	E1 precedes E2	None
459	E1 precedes E2	None
460	None	None
461	None	None
462	E2 precedes E1	None
463	None	None
464	None	None
465	None	None
466	None	None
467	None	None
468	None	None
469	None	None
470	None	None
471	None	None
472	None	None
473	None	None
474	E2 precedes E1	None
475	None	None
476	None	E1 precedes E2
477	None	None
478	None	None
479	None	None
480	None	None
481	None	None
482	None	None
483	None	None
484	None	None
485	None	None
486	None	None
487	None	None
488	None	None
489	None	E1 precedes E2
490	None	E1 precedes E2
491	None	None
492	None	None
493	None	E1 precedes E2
494	E1 precedes E2	E1 precedes E2
495	None	None
496	None	None
497	None	E1 precedes E2
498	None	None
499	None	None
500	E2 precedes E1	None
501	None	None
502	None	None
503	None	None
504	None	None
505	None	None
506	E1 precedes E2	None
507	None	None
508	None	None
509	None	None
510	None	None
511	None	E1 precedes E2
512	None	None
513	None	None
514	E1 precedes E2	E1 precedes E2
515	None	None
516	None	E1 precedes E2
517	E1 precedes E2	None
518	E1 precedes E2	None
519	None	None
520	None	E1 precedes E2
521	None	None
522	None	None
523	None	None
524	None	None
525	None	None
526	None	None
527	None	None
528	None	None
529	None	None
530	None	None
531	None	E1 precedes E2
532	None	None
533	None	None
534	None	None
535	None	None
536	None	None
537	None	None
538	E1 precedes E2	E1 precedes E2
539	None	None
540	None	None
541	None	E1 precedes E2
542	E1 precedes E2	E1 precedes E2
543	None	None
544	E1 precedes E2	None
545	None	None
546	None	None
547	None	None
548	None	E1 precedes E2
549	None	None
550	E1 precedes E2	E1 precedes E2
551	None	None
552	None	None
553	None	None
554	None	None
555	None	None
556	E1 precedes E2	None
557	None	E1 precedes E2
558	None	E1 precedes E2
559	None	None
560	None	None
561	E1 precedes E2	None
562	E1 precedes E2	None
563	None	None
564	None	E1 precedes E2
565	None	None
566	E1 precedes E2	E1 precedes E2
567	None	E1 precedes E2
568	E2 precedes E1	None
569	None	None
570	None	None
571	None	None
572	None	None
573	None	None
574	None	None
575	None	None
576	None	None
577	None	None
578	E1 precedes E2	E1 precedes E2
579	None	None
580	None	None
581	None	None
582	None	None
583	None	None
584	None	None
585	None	None
586	E1 precedes E2	None
587	None	None
588	None	E1 precedes E2
589	None	None
590	None	None
591	None	None
593	None	None
594	E1 precedes E2	None
595	None	None
596	None	E1 precedes E2
597	None	E1 precedes E2
598	E1 precedes E2	None
599	None	None
600	None	None
601	None	E1 precedes E2
602	None	None
603	None	None
604	E1 precedes E2	None
605	None	None
606	None	None
607	E1 precedes E2	E1 precedes E2
608	None	None
609	None	None
610	None	None
611	None	None
612	E1 precedes E2	None
613	None	None
614	None	None
615	None	None
616	None	E1 precedes E2
617	None	None
618	E1 precedes E2	None
619	None	None
620	None	None
621	None	None
622	E1 precedes E2	None
623	None	None
624	None	None
625	None	None
626	None	None
627	None	E1 precedes E2
628	None	None
629	E1 precedes E2	None
630	None	None
631	E1 precedes E2	None
632	None	None
633	None	None
634	None	None
635	None	None
636	None	None
637	None	E1 precedes E2
638	None	None
639	None	None
640	None	None
641	None	None
642	None	None
643	None	None
644	None	None
645	None	None
646	E1 precedes E2	None
648	None	None
649	None	None
650	None	None
651	None	None
652	None	None
653	None	None
654	None	None
655	None	None
656	E1 precedes E2	None
657	None	None
658	None	None
659	None	None
660	E1 precedes E2	None
661	None	None
662	None	None
663	E1 precedes E2	None
664	None	None
665	E1 precedes E2	None
666	None	None
667	None	None
668	None	None
669	E1 precedes E2	None
670	None	None
671	E1 precedes E2	None
672	None	None
673	None	None
674	None	None
675	None	None
676	None	None
677	None	None
678	None	None
679	E1 precedes E2	None
680	None	None
681	None	E1 precedes E2
682	None	None
683	None	None
684	None	None
685	None	None
686	None	None
687	E1 precedes E2	None
688	None	None
689	E1 precedes E2	None
690	None	E1 precedes E2
691	None	None
692	None	None
693	None	None
694	None	None
695	None	None
696	None	None
697	None	None
698	None	E1 precedes E2
699	E1 precedes E2	None
700	E1 precedes E2	None
701	None	None
702	None	None
703	E1 precedes E2	E1 precedes E2
704	None	E1 precedes E2
705	None	None
706	None	None
707	None	None
708	None	None
709	None	None
710	E1 precedes E2	E1 precedes E2
711	None	None
712	None	None
713	None	None
714	None	None
715	None	None
716	None	None
717	None	None
718	None	None
719	None	None
720	None	None
721	None	None
722	None	None
723	None	None
724	None	None
725	None	None
726	None	None
727	None	None
728	None	None
729	None	None
730	None	None
731	E1 precedes E2	None
732	None	None
733	None	None
734	None	None
735	None	None
736	None	None
737	None	None
738	None	None
739	None	None
740	None	None
741	None	None
742	None	None
744	E1 precedes E2	None
745	None	None
746	None	None
747	None	None
748	None	None
749	None	None
750	None	None
751	None	None
752	None	E1 precedes E2
753	E2 precedes E1	E1 precedes E2
754	None	None
755	E1 precedes E2	None
756	None	None
757	None	None
758	None	None
759	None	None
760	None	None
761	None	None
762	None	None
763	None	None
764	None	None
765	None	None
766	None	None
767	None	None
768	E1 precedes E2	None
769	None	None
770	None	None
771	E1 precedes E2	E1 precedes E2
772	None	None
773	None	None
774	None	None
775	E1 precedes E2	None
777	None	None
778	None	None
779	E2 precedes E1	None
780	None	None
781	None	E1 precedes E2
782	E1 precedes E2	None
783	None	None
784	E2 precedes E1	None
785	None	None
786	None	None
787	None	None
788	None	None
789	None	None
790	None	None
791	None	None
792	None	None
793	None	None
794	None	None
795	None	None
796	None	None
797	None	None
798	None	None
799	None	None
800	None	None
801	None	None
802	None	None
803	None	None
804	None	None
805	None	None
806	None	None
807	E2 precedes E1	E1 precedes E2
808	None	None
809	None	None
810	None	None
811	None	None
812	None	None
813	None	None
814	None	None
815	None	None
816	None	None
817	None	None
818	None	None
819	None	None
820	None	None
821	None	None
822	E2 precedes E1	None
823	None	None
824	None	None
825	None	None
826	None	None
827	None	None
828	E1 precedes E2	None
829	None	None
830	E1 precedes E2	None
831	None	None
832	E1 precedes E2	None
833	None	None
834	None	None
837	None	None
838	None	None
839	None	None
840	None	None
841	None	None
842	None	None
843	None	None
844	None	None
845	None	None
846	None	None
847	None	None
848	E1 precedes E2	None
849	None	None
850	None	None
851	None	None
852	None	None
853	None	None
854	None	None
855	None	None
856	None	None
857	None	None
858	None	None
859	E1 precedes E2	E1 precedes E2
860	E1 precedes E2	None
861	None	None
862	None	E1 precedes E2
863	None	None
864	None	None
865	None	None
866	None	None
867	None	None
868	None	None
869	None	None
870	None	None
871	None	None
872	None	None
873	E1 precedes E2	None
874	None	None
875	None	None
876	None	None
877	None	None
878	None	None
879	None	None
880	E1 precedes E2	None
881	E1 precedes E2	None
882	E1 precedes E2	None
883	None	E1 precedes E2
884	None	None
885	None	None
886	None	None
887	None	None
888	None	None
889	None	None
890	None	None
891	None	None
892	None	None
893	None	None
894	None	None
895	None	None
896	E1 precedes E2	None
897	None	None
898	None	None
899	None	None
900	None	None
901	E1 precedes E2	E1 precedes E2
902	E1 precedes E2	E1 precedes E2
903	E2 precedes E1	None
904	E1 precedes E2	E1 precedes E2
905	None	None
906	None	None
907	None	None
908	None	None
909	None	None
910	None	None
911	None	None
912	None	None
913	None	None
914	None	None
915	None	None
